start,end,length
2790,3075,285
5746,5784,38
8543,8858,315
12614,13584,970
18583,18962,379
21914,22002,88
22944,22957,13
25865,26010,145
28607,28765,158
33294,33308,14
34598,34821,223
39605,39624,19
42947,42957,10
47299,47355,56
48924,48997,73
53153,53214,61
55950,56213,263
58843,59394,551
60347,60598,251
63132,63349,217
71569,71975,406
74505,75324,819
